Usecase Description,Type,Industry,Impact,Data Richness
Identify and navigate roads and obstructions in real-time for autonomous driving,Process unstructured data,automotive,1.5,2.0
Predict failure and recommend proactive maintenance on vehicle components,Predictive maintenance,automotive,0.9,1.0
Optimize manufacturing process in real time— determine where to dedicate resources to reduce bottlenecks and cycle time ,Operations/logistics optimisation (real time),automotive,0.7,1.0
Optimize lane choices and path routing based on multi-modal data to reduce length of trip,Operations/logistics optimisation (real time),automotive,0.6,1.7
Recognize complex voice commands to access greater variety of services and features,Process unstructured data,automotive,0.5,0.3
"Predict outcomes using fewer experiments to reduce experimental R&D costs (e.g.,component testing, track testing)",Forecasting,automotive,0.4,0.3
Discover anomalies across fleet of vehicle sensor data to identify potential failure risks and pre-empt recalls,Discover new trends/anomalies,automotive,0.4,1.0
Optimize aggregate marketing mix and marketing spend,Price and product optimisation,automotive,0.3,0.3
"Personalize in-vehicle recommendations based on location data and passenger preferences (e.g., recommending local attractions or shops for proactive maintenance)",Radical personalisation,automotive,0.3,1.7
Predict market potential for new product innovation,Forecasting,automotive,0.3,1.7
Predict failure and recommend proactive maintenance for production and moving equipment,Predictive maintenance,manufacturing,1.3,1.0
Optimize complex manufacturing process in real time—determine where to dedicate resources to reduce bottlenecks and cycle time,Operations/logistics optimisation (real time),manufacturing,1.1,1.0
Predict future demand trends and potential constraints in supply chain,Forecasting,manufacturing,0.8,0.7
"Identify design problems in pre-production to reduce ramp-up time to maximum output (i.e., yield ramp)",Predictive analytics,manufacturing,0.6,0.3
"Identify root causes for low product yield (e.g., tool-/die-specific issues) in manufacturing",Discover new trends/anomalies,manufacturing,0.5,0.7
Detect defects and quality issues during production using visual and other data,Process unstructured data,manufacturing,0.4,0.7
"Optimize resource allocation in R&D and manufacturing, leveraging diverse data (e.g., communications, documentation) to track progress",Resource allocation,manufacturing,0.4,0.3
Optimize R&D experimental efficiency through process/operations,Operations/logistics optimisation (real time),manufacturing,0.4,0.3
"Determine root causes for quality issues developed outside of manufacturing (e.g., during delivery, in supply chain)",Discover new trends/anomalies,manufacturing,0.3,0.7
"Identify critical factors to reduce number of required experiments for R&D and testing (e.g., component testing)",Predictive analytics,manufacturing,0.2,0.7
Optimize in-store product assortment to maximize sales ,Price and product optimisation,consumer products,1.3,1.0
Personalize product recommendations and advertising to target individual consumers,Radical personalisation,consumer products,1.1,1.3
"Optimize logistics, procurement timing, and inventory distribution across warehouses/stores",Operations/logistics optimisation (real time),consumer products,1.1,1.7
Predict hyperregional sales/demand trends using real-time data,Forecasting,consumer products,0.9,1.3
Predict market potential for new product innovation,Price and product optimisation,consumer products,0.6,0.3
Optimize aggregate marketing mix and marketing spend,Price and product optimisation,consumer products,0.5,0.3
"Classify visual features from in-store video to collect data on product placement, product touches, and other key performance indicators for use in auditing or market research",Process unstructured data,consumer products,0.2,0.7
Predict risk of individual employee churn and recommend solutions,Predictive maintenance,consumer products,0.1,1.0
"Route call-center cases based on multi-modal data (e.g., customer preferences, audio data) to increase customer satisfaction and reduce handling costs",Predictive analytics,consumer products,0.1,1.3
Write product descriptions and ads for diverse product portfolio,Price and product optimisation,consumer products,0,0.3
